Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
truth,com.google.common.truth,SortedSetSubjectTest,verifyHierarchy,4,1,0,43,1,,
truth,com.google.common.truth,SortedSetSubjectTest,verifyNamed,3,1,0,49,1,,
truth,com.google.common.truth,SortedSetSubjectTest,hasFirstLastElement,6,1,0,55,1,,
truth,com.google.common.truth,SortedSetSubjectTest,hasFirstLastElement_empty,30,1,0,63,1,,
truth,com.google.common.truth,SortedSetSubjectTest,hasFirstLastElement_wrongPosition,16,1,0,94,1,,
truth,com.google.common.truth,SortedSetSubjectTest,hasFirstLastElement_absent,16,1,0,117,1,,
truth,com.google.common.truth,SubjectTest,nullPointerTester,25,1,0,53,1,,
truth,com.google.common.truth,SubjectTest,allAssertThatOverloadsAcceptNull,35,4,0,83,1,com.google.common.truth.Subject,com.google.common.truth.Subject; com.google.common.truth.StringSubject
truth,com.google.common.truth,SubjectTest,toString,3,1,0,131,0,,
truth,com.google.common.truth,SubjectTest,toString,3,1,0,138,0,,
truth,com.google.common.truth,SubjectTest,toStringsAreIdentical,11,1,0,144,1,,
truth,com.google.common.truth,SubjectTest,isSameAsWithNulls,4,1,0,168,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isSameAsFailureWithNulls,10,1,0,174,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isSameAsWithSameObject,5,1,0,185,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isSameAsFailureWithObjects,11,1,0,192,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isSameAsFailureWithComparableObjects,11,1,0,204,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isSameAsFailureWithDifferentTypesAndSameToString,11,1,0,219,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotSameAsWithNulls,4,1,0,234,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotSameAsFailureWithNulls,10,1,0,240,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotSameAsWithObjects,5,1,0,251,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotSameAsFailureWithSameObject,11,1,0,258,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotSameAsWithComparableObjects,5,1,0,270,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotSameAsWithDifferentTypesAndSameToString,5,1,0,277,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNull,4,1,0,284,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNullFail,10,1,0,290,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,stringIsNullFail,9,1,0,301,1,,
truth,com.google.common.truth,SubjectTest,isNotNull,4,1,0,311,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotNullFail,10,1,0,317,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isEqualToWithNulls,4,1,0,328,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isEqualToFailureWithNulls,10,1,0,334,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isEqualToWithSameObject,5,1,0,345,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isEqualToFailureWithObjects,11,1,0,352,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isEqualToWithComparableObjects,5,1,0,364,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isEqualToFailureWithComparableObjects,11,1,0,371,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isEqualToFailureWithDifferentTypesAndSameToString,11,1,0,383,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotEqualToWithNulls,4,1,0,398,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotEqualToFailureWithNulls,10,1,0,404,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,isNotEqualToWithObjects,5,1,0,415,1,com.google.common.truth.Subject,com.google.common.truth.Subject
