Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
truth,com.google.common.truth,MapSubjectTest,containsNullEntryValue,Long Statement,The length of the statement "assertFailureKeys("expected to contain entry"`"but did not"`"though it did contain keys with that value"`"full contents");" is 122.,1019
truth,com.google.common.truth,MapSubjectTest,containsNullEntryKey,Long Identifier,The length of the field KEY_IS_PRESENT_WITH_DIFFERENT_VALUE is 35.,1036
truth,com.google.common.truth,MapSubjectTest,failMapContainsKeyWithValue,Long Identifier,The length of the field KEY_IS_PRESENT_WITH_DIFFERENT_VALUE is 35.,1142
truth,com.google.common.truth,MapSubjectTest,failMapContainsKeyWithNullValuePresentExpected,Long Identifier,The length of the field KEY_IS_PRESENT_WITH_DIFFERENT_VALUE is 35.,1155
truth,com.google.common.truth,MapSubjectTest,failMapContainsKeyWithPresentValueNullExpected,Long Identifier,The length of the field KEY_IS_PRESENT_WITH_DIFFERENT_VALUE is 35.,1169
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_success,Magic Number,The method contains a magic number: 456,1182
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_failsExpectedKeyHasWrongValue,Long Statement,The length of the statement "expectFailureWhenTestingThat(actual).comparingValuesUsing(STRING_PARSES_TO_INTEGER_CORRESPONDENCE).containsEntry("def"`123);" is 124.,1190
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_failsExpectedKeyHasWrongValue,Magic Number,The method contains a magic number: 123,1190
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_failsWrongKeyHasExpectedValue,Long Statement,The length of the statement "expectFailureWhenTestingThat(actual).comparingValuesUsing(STRING_PARSES_TO_INTEGER_CORRESPONDENCE).containsEntry("xyz"`456);" is 124.,1204
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_failsWrongKeyHasExpectedValue,Long Statement,The length of the statement "assertFailureKeys("for key"`"expected value"`"testing whether"`"but was missing"`"other keys with matching values"`"full map");" is 127.,1204
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_failsWrongKeyHasExpectedValue,Magic Number,The method contains a magic number: 456,1204
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_failsMissingExpectedKeyAndValue,Long Statement,The length of the statement "expectFailureWhenTestingThat(actual).comparingValuesUsing(STRING_PARSES_TO_INTEGER_CORRESPONDENCE).containsEntry("xyz"`321);" is 124.,1220
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_failsMissingExpectedKeyAndValue,Magic Number,The method contains a magic number: 321,1220
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_diffExpectedKeyHasWrongValue,Magic Number,The method contains a magic number: 35,1230
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_diffExpectedKeyHasWrongValue,Magic Number,The method contains a magic number: 71,1230
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_diffExpectedKeyHasWrongValue,Magic Number,The method contains a magic number: 60,1230
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesFormatDiffExceptions,Long Statement,The length of the statement "assertFailureKeys("for key"`"expected value"`"testing whether"`"but got value"`"full map"`"additionally` one or more exceptions were thrown while comparing values"`"first exception"`"additionally` one or more exceptions were thrown while formatting diffs"`"first exception");" is 275.,1244
truth,com.google.common.truth,MapSubjectTest,comparingValuesUsing_containsEntry_handlesFormatDiffExceptions,Long Statement,The length of the statement "assertThatFailure().factValue("first exception"`1).startsWith("formatDiff(null` 60) threw java.lang.NullPointerException");" is 123.,1244
